Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,185,8,Some Random Commen with Id 0
1,0,1,187,1,Some Random Commen with Id 1
2,0,1,107,6,Some Random Commen with Id 2
3,0,1,5,1,Some Random Commen with Id 3
4,0,1,88,9,Some Random Commen with Id 4
5,0,1,107,1,Some Random Commen with Id 5
6,0,1,145,3,Some Random Commen with Id 6
7,0,1,67,3,Some Random Commen with Id 7
8,1,0,182,4,Some Random Commen with Id 8
9,1,0,68,1,Some Random Commen with Id 9
10,1,0,90,7,Some Random Commen with Id 10
11,2,2,77,2,Some Random Commen with Id 11
12,2,2,145,7,Some Random Commen with Id 12
13,2,2,18,7,Some Random Commen with Id 13
14,2,2,25,2,Some Random Commen with Id 14
15,2,2,136,5,Some Random Commen with Id 15
16,2,2,72,0,Some Random Commen with Id 16
17,2,2,77,0,Some Random Commen with Id 17
18,2,2,174,6,Some Random Commen with Id 18
19,2,2,59,7,Some Random Commen with Id 19
20,3,7,49,5,Some Random Commen with Id 20
21,3,7,196,6,Some Random Commen with Id 21
22,3,7,130,7,Some Random Commen with Id 22
23,3,7,140,1,Some Random Commen with Id 23
24,3,7,58,5,Some Random Commen with Id 24
25,3,7,71,5,Some Random Commen with Id 25
26,3,7,148,1,Some Random Commen with Id 26
27,3,7,114,4,Some Random Commen with Id 27
28,3,7,128,3,Some Random Commen with Id 28
29,4,4,26,5,Some Random Commen with Id 29
30,4,4,28,9,Some Random Commen with Id 30
31,4,4,7,9,Some Random Commen with Id 31
32,5,0,161,9,Some Random Commen with Id 32
33,5,0,35,6,Some Random Commen with Id 33
34,5,0,169,2,Some Random Commen with Id 34
35,5,0,101,6,Some Random Commen with Id 35
36,5,0,27,4,Some Random Commen with Id 36
37,5,0,140,4,Some Random Commen with Id 37
38,5,0,141,4,Some Random Commen with Id 38
39,5,0,172,1,Some Random Commen with Id 39
40,5,0,26,5,Some Random Commen with Id 40
41,6,9,195,6,Some Random Commen with Id 41
42,7,7,53,1,Some Random Commen with Id 42
43,7,7,81,9,Some Random Commen with Id 43
44,7,7,110,5,Some Random Commen with Id 44
45,7,7,25,5,Some Random Commen with Id 45
46,7,7,96,9,Some Random Commen with Id 46
47,7,7,111,1,Some Random Commen with Id 47
48,7,7,128,5,Some Random Commen with Id 48
49,7,7,170,9,Some Random Commen with Id 49
50,7,7,160,3,Some Random Commen with Id 50
51,8,0,184,0,Some Random Commen with Id 51
52,8,0,54,0,Some Random Commen with Id 52
53,8,0,140,2,Some Random Commen with Id 53
54,9,0,31,3,Some Random Commen with Id 54
55,9,0,161,0,Some Random Commen with Id 55
56,9,0,173,3,Some Random Commen with Id 56
57,9,0,29,1,Some Random Commen with Id 57
58,9,0,110,8,Some Random Commen with Id 58
59,9,0,86,4,Some Random Commen with Id 59
60,9,0,70,9,Some Random Commen with Id 60
61,9,0,98,9,Some Random Commen with Id 61
62,9,0,41,1,Some Random Commen with Id 62
63,11,2,196,9,Some Random Commen with Id 63
64,11,2,46,1,Some Random Commen with Id 64
65,11,2,176,2,Some Random Commen with Id 65
66,11,2,38,4,Some Random Commen with Id 66
67,11,2,130,3,Some Random Commen with Id 67
68,11,2,110,3,Some Random Commen with Id 68
69,12,3,117,8,Some Random Commen with Id 69
70,12,3,58,9,Some Random Commen with Id 70
71,12,3,155,4,Some Random Commen with Id 71
72,13,4,37,1,Some Random Commen with Id 72
73,14,9,104,8,Some Random Commen with Id 73
74,14,9,63,9,Some Random Commen with Id 74
75,14,9,66,7,Some Random Commen with Id 75
76,14,9,100,9,Some Random Commen with Id 76
